,caseGrowth,stringIndex,DaysBeforeSClose,cluster
ABW,189.49457894736838,39.158713235294115,75.0,2
AFG,3.8314676806083643,50.44720754716985,73.0,0
AGO,0.7442617801047119,55.973529411764666,83.0,0
AIA,1.0751290322580644,33.20848708487078,75.0,0
ALB,22.584975490196083,52.25439849624066,68.0,0
AND,119.40886432160798,32.10114391143916,75.0,1
ARE,34.63766292134831,45.37003891050583,67.0,4
ARG,76.40027669902913,67.85219696969676,75.0,1
AUT,17.67809523809523,38.439926470588304,75.0,0
AZE,14.839733082706772,63.839595588235156,62.0,3
BEL,36.0576043956044,48.311025641025644,73.0,4
BEN,0.9847551020408163,36.793088235294086,89.0,0
BFA,0.4803649999999999,41.06599999999995,75.0,0
BGD,11.013939393939403,61.07653136531383,75.0,0
BGR,14.218019704433496,36.87853932584259,64.0,0
BHR,148.59651102941174,55.024264705882445,56.0,2
BIH,41.02183,49.86633962264153,70.0,4
BLR,30.99314339622644,9.15276752767529,94.0,0
BLZ,24.670555555555556,52.746985294117586,79.0,0
BMU,15.0598756476684,45.86694852941176,79.0,0
BOL,57.35486499999999,65.44223484848472,71.0,4
BRB,3.3906256410256437,47.613703703703536,78.0,0
BRN,1.6521336633663366,38.52977941176471,70.0,0
BTN,1.7779296482412057,56.83444852941169,77.0,0
BWA,6.862502762430938,48.89996268656711,78.0,0
CAF,5.051167512690352,44.01947761194019,85.0,0
CAN,14.861282051282062,50.08697761194018,79.0,0
CHE,21.951065934065944,41.084926470588144,72.0,0
CHL,115.16129807692298,56.76498113207534,74.0,1
CHN,0.23027106227106223,69.92025735294125,25.0,3
CIV,3.7393969849246247,40.42743396226416,75.0,0
CMR,3.9055149999999994,43.64332075471694,77.0,0
COD,0.5923450000000002,48.70503676470592,78.0,0
COG,4.606903553299492,51.67375000000001,87.0,0
COL,79.10380693069311,61.317306273063046,75.0,1
CPV,54.06105729166665,54.01973384030425,82.0,4
CRI,68.99308780487803,53.27830827067676,71.0,1
CUB,2.433252525252524,59.35045112781962,83.0,0
CYM,16.556305699481857,49.21890710382518,75.0,0
CYP,9.633308457711433,48.88874999999995,72.0,0
CZE,22.09539194139194,38.96286764705887,70.0,0
DEU,12.4746227106227,47.572388059701645,77.0,0
DJI,28.219953608247444,44.89767790262184,78.0,4
DMA,1.7546210526315789,38.49053639846751,82.0,0
DNK,16.84532234432234,44.71463235294115,72.0,0
DOM,38.89382575757575,59.36891791044793,75.0,4
